"Compartment","Watershed","Forest","YEAR","MONTH","DAY","DEPTH","Moisture_m3_m3","DATE"
"EBHW","EB","HW",2003,10,28,"10cm",0.1987,2003-10-28
"EBHW","EB","HW",2003,10,29,"10cm",0.1956,2003-10-29
"EBHW","EB","HW",2003,10,30,"10cm",0.1931,2003-10-30
"EBHW","EB","HW",2003,10,31,"10cm",0.1832,2003-10-31
"EBHW","EB","HW",2003,11,1,"10cm",0.1796,2003-11-01
"EBHW","EB","HW",2003,11,2,"10cm",0.177,2003-11-02
"EBHW","EB","HW",2003,11,3,"10cm",0.1766,2003-11-03
"EBHW","EB","HW",2003,11,4,"10cm",0.1766,2003-11-04
"EBHW","EB","HW",2003,11,5,"10cm",0.1769,2003-11-05
"EBHW","EB","HW",2003,11,6,"10cm",0.1769,2003-11-06
"EBHW","EB","HW",2003,11,7,"10cm",0.1761,2003-11-07
"EBHW","EB","HW",2003,11,8,"10cm",0.1766,2003-11-08
"EBHW","EB","HW",2003,11,9,"10cm",0.1757,2003-11-09
"EBHW","EB","HW",2003,11,10,"10cm",0.1749,2003-11-10
"EBHW","EB","HW",2003,11,11,"10cm",0.1747,2003-11-11
"EBHW","EB","HW",2003,11,12,"10cm",0.176,2003-11-12
"EBHW","EB","HW",2003,11,13,"10cm",0.1888,2003-11-13
"EBHW","EB","HW",2003,11,14,"10cm",0.1899,2003-11-14
"EBHW","EB","HW",2003,11,15,"10cm",0.1847,2003-11-15
"EBHW","EB","HW",2003,11,16,"10cm",0.1814,2003-11-16
"EBHW","EB","HW",2003,11,17,"10cm",0.1794,2003-11-17
"EBHW","EB","HW",2003,11,18,"10cm",0.1787,2003-11-18
"EBHW","EB","HW",2003,11,19,"10cm",0.1792,2003-11-19
"EBHW","EB","HW",2003,11,20,"10cm",0.1956,2003-11-20
"EBHW","EB","HW",2003,11,21,"10cm",0.1971,2003-11-21
"EBHW","EB","HW",2003,11,22,"10cm",0.1877,2003-11-22
"EBHW","EB","HW",2003,11,23,"10cm",0.1852,2003-11-23
"EBHW","EB","HW",2003,11,24,"10cm",0.1837,2003-11-24
"EBHW","EB","HW",2003,11,25,"10cm",0.1826,2003-11-25
"EBHW","EB","HW",2003,11,26,"10cm",0.1803,2003-11-26
"EBHW","EB","HW",2003,11,27,"10cm",0.1792,2003-11-27
"EBHW","EB","HW",2003,11,28,"10cm",0.1783,2003-11-28
"EBHW","EB","HW",2003,11,29,"10cm",0.1937,2003-11-29
"EBHW","EB","HW",2003,11,30,"10cm",0.1887,2003-11-30
"EBHW","EB","HW",2003,12,1,"10cm",0.1856,2003-12-01
"EBHW","EB","HW",2003,12,2,"10cm",0.1829,2003-12-02
"EBHW","EB","HW",2003,12,3,"10cm",0.1778,2003-12-03
"EBHW","EB","HW",2003,12,4,"10cm",0.1698,2003-12-04
"EBHW","EB","HW",2003,12,5,"10cm",0.1585,2003-12-05
"EBHW","EB","HW",2003,12,6,"10cm",0.1434,2003-12-06
"EBHW","EB","HW",2003,12,7,"10cm",0.145,2003-12-07
"EBHW","EB","HW",2003,12,8,"10cm",0.1484,2003-12-08
"EBHW","EB","HW",2003,12,9,"10cm",0.1516,2003-12-09
"EBHW","EB","HW",2003,12,10,"10cm",0.1551,2003-12-10
"EBHW","EB","HW",2003,12,11,"10cm",0.1605,2003-12-11
"EBHW","EB","HW",2003,12,12,"10cm",0.1878,2003-12-12
"EBHW","EB","HW",2003,12,13,"10cm",0.1777,2003-12-13
"EBHW","EB","HW",2003,12,14,"10cm",0.1726,2003-12-14
"EBHW","EB","HW",2003,12,15,"10cm",0.1701,2003-12-15
"EBHW","EB","HW",2003,12,16,"10cm",0.1694,2003-12-16
"EBHW","EB","HW",2003,12,17,"10cm",0.1686,2003-12-17
"EBHW","EB","HW",2003,12,18,"10cm",0.187,2003-12-18
"EBHW","EB","HW",2003,12,19,"10cm",0.1825,2003-12-19
"EBHW","EB","HW",2003,12,20,"10cm",0.1788,2003-12-20
"EBHW","EB","HW",2003,12,21,"10cm",0.1762,2003-12-21
"EBHW","EB","HW",2003,12,22,"10cm",0.1737,2003-12-22
"EBHW","EB","HW",2003,12,23,"10cm",0.1723,2003-12-23
"EBHW","EB","HW",2003,12,24,"10cm",0.1742,2003-12-24
"EBHW","EB","HW",2003,12,25,"10cm",0.1962,2003-12-25
"EBHW","EB","HW",2003,12,26,"10cm",0.1884,2003-12-26
"EBHW","EB","HW",2003,12,27,"10cm",0.1826,2003-12-27
"EBHW","EB","HW",2003,12,28,"10cm",0.1794,2003-12-28
"EBHW","EB","HW",2003,12,29,"10cm",0.1775,2003-12-29
"EBHW","EB","HW",2003,12,30,"10cm",0.178,2003-12-30
"EBHW","EB","HW",2003,12,31,"10cm",0.1774,2003-12-31
"EBHW","EB","HW",2004,1,1,"10cm",0.1741,2004-01-01
"EBHW","EB","HW",2004,1,2,"10cm",0.1624,2004-01-02
"EBHW","EB","HW",2004,1,3,"10cm",0.1588,2004-01-03
"EBHW","EB","HW",2004,1,4,"10cm",0.163,2004-01-04
"EBHW","EB","HW",2004,1,5,"10cm",0.1626,2004-01-05
"EBHW","EB","HW",2004,1,6,"10cm",0.1555,2004-01-06
"EBHW","EB","HW",2004,1,7,"10cm",0.1486,2004-01-07
"EBHW","EB","HW",2004,1,8,"10cm",0.1344,2004-01-08
"EBHW","EB","HW",2004,1,9,"10cm",0.1107,2004-01-09
"EBHW","EB","HW",2004,1,10,"10cm",0.0929,2004-01-10
"EBHW","EB","HW",2004,1,11,"10cm",0.0778,2004-01-11
"EBHW","EB","HW",2004,1,12,"10cm",0.0689,2004-01-12
"EBHW","EB","HW",2004,1,13,"10cm",0.0652,2004-01-13
"EBHW","EB","HW",2004,1,14,"10cm",0.062,2004-01-14
"EBHW","EB","HW",2004,1,15,"10cm",0.0542,2004-01-15
"EBHW","EB","HW",2004,1,16,"10cm",0.0513,2004-01-16
"EBHW","EB","HW",2004,1,17,"10cm",0.0504,2004-01-17
"EBHW","EB","HW",2004,1,18,"10cm",0.0505,2004-01-18
"EBHW","EB","HW",2004,1,19,"10cm",0.0532,2004-01-19
"EBHW","EB","HW",2004,1,20,"10cm",0.0557,2004-01-20
"EBHW","EB","HW",2004,1,21,"10cm",0.057,2004-01-21
"EBHW","EB","HW",2004,1,22,"10cm",0.0572,2004-01-22
"EBHW","EB","HW",2004,1,23,"10cm",0.058,2004-01-23
"EBHW","EB","HW",2004,1,24,"10cm",0.0576,2004-01-24
"EBHW","EB","HW",2004,1,25,"10cm",0.0558,2004-01-25
"EBHW","EB","HW",2004,1,26,"10cm",0.0542,2004-01-26
"EBHW","EB","HW",2004,1,27,"10cm",0.0533,2004-01-27
"EBHW","EB","HW",2004,1,28,"10cm",0.0535,2004-01-28
"EBHW","EB","HW",2004,1,29,"10cm",0.0541,2004-01-29
"EBHW","EB","HW",2004,1,30,"10cm",0.0544,2004-01-30
"EBHW","EB","HW",2004,1,31,"10cm",0.054,2004-01-31
"EBHW","EB","HW",2004,2,1,"10cm",0.0539,2004-02-01
"EBHW","EB","HW",2004,2,2,"10cm",0.0556,2004-02-02
"EBHW","EB","HW",2004,2,3,"10cm",0.0537,2004-02-03
"EBHW","EB","HW",2004,2,4,"10cm",0.0579,2004-02-04
"EBHW","EB","HW",2004,2,5,"10cm",0.0575,2004-02-05
"EBHW","EB","HW",2004,2,6,"10cm",0.0511,2004-02-06
"EBHW","EB","HW",2004,2,7,"10cm",0.0523,2004-02-07
"EBHW","EB","HW",2004,2,8,"10cm",0.0543,2004-02-08
"EBHW","EB","HW",2004,2,9,"10cm",0.0532,2004-02-09
"EBHW","EB","HW",2004,2,10,"10cm",0.0549,2004-02-10
"EBHW","EB","HW",2004,2,11,"10cm",0.0565,2004-02-11
"EBHW","EB","HW",2004,2,12,"10cm",0.0544,2004-02-12
"EBHW","EB","HW",2004,2,13,"10cm",0.0525,2004-02-13
"EBHW","EB","HW",2004,2,14,"10cm",0.0533,2004-02-14
"EBHW","EB","HW",2004,2,15,"10cm",0.0523,2004-02-15
"EBHW","EB","HW",2004,2,21,"10cm",0.0506,2004-02-21
"EBHW","EB","HW",2004,2,22,"10cm",0.0518,2004-02-22
"EBHW","EB","HW",2004,2,23,"10cm",0.0539,2004-02-23
"EBHW","EB","HW",2004,2,24,"10cm",0.0558,2004-02-24
"EBHW","EB","HW",2004,2,25,"10cm",0.0566,2004-02-25
"EBHW","EB","HW",2004,2,26,"10cm",0.057,2004-02-26
"EBHW","EB","HW",2004,2,27,"10cm",0.0568,2004-02-27
"EBHW","EB","HW",2004,2,28,"10cm",0.0566,2004-02-28
"EBHW","EB","HW",2004,2,29,"10cm",0.0567,2004-02-29
"EBHW","EB","HW",2004,3,1,"10cm",0.0579,2004-03-01
"EBHW","EB","HW",2004,3,2,"10cm",0.061,2004-03-02
"EBHW","EB","HW",2004,3,3,"10cm",0.0643,2004-03-03
"EBHW","EB","HW",2004,3,4,"10cm",0.067,2004-03-04
"EBHW","EB","HW",2004,3,5,"10cm",0.0695,2004-03-05
"EBHW","EB","HW",2004,3,6,"10cm",0.0716,2004-03-06
"EBHW","EB","HW",2004,3,7,"10cm",0.0734,2004-03-07
"EBHW","EB","HW",2004,3,8,"10cm",0.0747,2004-03-08
"EBHW","EB","HW",2004,3,9,"10cm",0.0726,2004-03-09
"EBHW","EB","HW",2004,3,10,"10cm",0.0676,2004-03-10
"EBHW","EB","HW",2004,3,11,"10cm",0.0642,2004-03-11
"EBHW","EB","HW",2004,3,12,"10cm",0.0647,2004-03-12
"EBHW","EB","HW",2004,3,13,"10cm",0.0666,2004-03-13
"EBHW","EB","HW",2004,3,14,"10cm",0.0669,2004-03-14
"EBHW","EB","HW",2004,3,15,"10cm",0.0664,2004-03-15
"EBHW","EB","HW",2004,3,16,"10cm",0.0671,2004-03-16
"EBHW","EB","HW",2004,3,17,"10cm",0.066,2004-03-17
"EBHW","EB","HW",2004,3,18,"10cm",0.0632,2004-03-18
"EBHW","EB","HW",2004,3,19,"10cm",0.0606,2004-03-19
"EBHW","EB","HW",2004,3,20,"10cm",0.0601,2004-03-20
"EBHW","EB","HW",2004,3,21,"10cm",0.0623,2004-03-21
"EBHW","EB","HW",2004,3,22,"10cm",0.0648,2004-03-22
"EBHW","EB","HW",2004,3,23,"10cm",0.0651,2004-03-23
"EBHW","EB","HW",2004,3,24,"10cm",0.0644,2004-03-24
"EBHW","EB","HW",2004,3,25,"10cm",0.0662,2004-03-25
"EBHW","EB","HW",2004,3,26,"10cm",0.0688,2004-03-26
"EBHW","EB","HW",2004,3,27,"10cm",0.0718,2004-03-27
"EBHW","EB","HW",2004,3,28,"10cm",0.0745,2004-03-28
"EBHW","EB","HW",2004,3,29,"10cm",0.0765,2004-03-29
"EBHW","EB","HW",2004,3,30,"10cm",0.0784,2004-03-30
"EBHW","EB","HW",2004,3,31,"10cm",0.0809,2004-03-31
"EBHW","EB","HW",2004,4,1,"10cm",0.084,2004-04-01
"EBHW","EB","HW",2004,4,2,"10cm",0.0875,2004-04-02
"EBHW","EB","HW",2004,4,3,"10cm",0.0916,2004-04-03
"EBHW","EB","HW",2004,4,4,"10cm",0.0963,2004-04-04
"EBHW","EB","HW",2004,4,5,"10cm",0.1011,2004-04-05
"EBHW","EB","HW",2004,4,6,"10cm",0.1054,2004-04-06
"EBHW","EB","HW",2004,4,7,"10cm",0.1119,2004-04-07
"EBHW","EB","HW",2004,4,8,"10cm",0.1175,2004-04-08
"EBHW","EB","HW",2004,4,9,"10cm",0.1232,2004-04-09
"EBHW","EB","HW",2004,4,10,"10cm",0.1316,2004-04-10
"EBHW","EB","HW",2004,4,11,"10cm",0.138,2004-04-11
"EBHW","EB","HW",2004,4,12,"10cm",0.1428,2004-04-12
"EBHW","EB","HW",2004,4,13,"10cm",0.1493,2004-04-13
"EBHW","EB","HW",2004,4,14,"10cm",0.1717,2004-04-14
"EBHW","EB","HW",2004,4,15,"10cm",0.1794,2004-04-15
"EBHW","EB","HW",2004,4,16,"10cm",0.175,2004-04-16
"EBHW","EB","HW",2004,4,17,"10cm",0.1727,2004-04-17
"EBHW","EB","HW",2004,4,18,"10cm",0.1736,2004-04-18
"EBHW","EB","HW",2004,4,19,"10cm",0.1724,2004-04-19
"EBHW","EB","HW",2004,4,20,"10cm",0.1685,2004-04-20
"EBHW","EB","HW",2004,4,21,"10cm",0.1568,2004-04-21
"EBHW","EB","HW",2004,4,22,"10cm",0.1538,2004-04-22
"EBHW","EB","HW",2004,4,23,"10cm",0.1523,2004-04-23
"EBHW","EB","HW",2004,4,24,"10cm",0.1518,2004-04-24
"EBHW","EB","HW",2004,4,25,"10cm",0.1507,2004-04-25
"EBHW","EB","HW",2004,4,26,"10cm",0.1507,2004-04-26
"EBHW","EB","HW",2004,4,27,"10cm",0.1513,2004-04-27
"EBHW","EB","HW",2004,4,28,"10cm",0.1497,2004-04-28
"EBHW","EB","HW",2004,4,29,"10cm",0.1496,2004-04-29
"EBHW","EB","HW",2004,4,30,"10cm",0.1466,2004-04-30
"EBHW","EB","HW",2004,5,1,"10cm",0.1446,2004-05-01
"EBHW","EB","HW",2004,5,2,"10cm",0.1436,2004-05-02
"EBHW","EB","HW",2004,5,3,"10cm",0.1449,2004-05-03
"EBHW","EB","HW",2004,5,4,"10cm",0.1637,2004-05-04
"EBHW","EB","HW",2004,5,5,"10cm",0.1785,2004-05-05
"EBHW","EB","HW",2004,5,6,"10cm",0.1749,2004-05-06
"EBHW","EB","HW",2004,5,7,"10cm",0.1761,2004-05-07
"EBHW","EB","HW",2004,5,8,"10cm",0.1818,2004-05-08
"EBHW","EB","HW",2004,5,9,"10cm",0.1806,2004-05-09
"EBHW","EB","HW",2004,5,10,"10cm",0.1792,2004-05-10
"EBHW","EB","HW",2004,5,11,"10cm",0.1787,2004-05-11
"EBHW","EB","HW",2004,5,12,"10cm",0.177,2004-05-12
"EBHW","EB","HW",2004,5,13,"10cm",0.1768,2004-05-13
"EBHW","EB","HW",2004,5,14,"10cm",0.1772,2004-05-14
"EBHW","EB","HW",2004,5,15,"10cm",0.1754,2004-05-15
"EBHW","EB","HW",2004,5,16,"10cm",0.1803,2004-05-16
"EBHW","EB","HW",2004,5,17,"10cm",0.1792,2004-05-17
"EBHW","EB","HW",2004,5,18,"10cm",0.1801,2004-05-18
"EBHW","EB","HW",2004,5,19,"10cm",0.1826,2004-05-19
"EBHW","EB","HW",2004,5,20,"10cm",0.1799,2004-05-20
"EBHW","EB","HW",2004,5,21,"10cm",0.1786,2004-05-21
