Compartment,Datetime,Depth,Moisture_m3_m3,Temp_C,Remove
WBHW,01-02-2009  3:00:00 AM,vertical,0.17598,,
WBHW,01-02-2009  3:00:00 PM,25cm,0.13144,,
WBHW,01-02-2009  3:00:00 PM,10cm,0.1501,1.17,
WBHW,01-02-2009  3:00:00 PM,vertical,0.17555,,
WBHW,01-02-2009  6:00:00 AM,25cm,0.13229,,
WBHW,01-02-2009  6:00:00 AM,10cm,0.1501,1.6,
WBHW,01-02-2009  6:00:00 AM,vertical,0.17598,,
WBHW,01-02-2009  6:00:00 PM,25cm,0.13144,,
WBHW,01-02-2009  6:00:00 PM,10cm,0.1501,1.17,
WBHW,01-02-2009  6:00:00 PM,vertical,0.1747,,
WBHW,01-02-2009  9:00:00 AM,25cm,0.13229,,
WBHW,01-02-2009  9:00:00 AM,10cm,0.1501,1.6,
WBHW,01-02-2009  9:00:00 AM,vertical,0.17555,,
WBHW,01-02-2009  9:00:00 PM,25cm,0.13144,,
WBHW,01-02-2009  9:00:00 PM,10cm,0.14925,1.17,
WBHW,01-02-2009  9:00:00 PM,vertical,0.1747,,
WBHW,01-02-2010  12:00:00 AM,25cm,0.12762,,
WBHW,01-02-2010  12:00:00 AM,10cm,0.14756,2.03,
WBHW,01-02-2010  12:00:00 AM,vertical,0.17131,,
WBHW,01-02-2010  12:00:00 PM,25cm,0.12762,,
WBHW,01-02-2010  12:00:00 PM,10cm,0.14756,2.46,
WBHW,01-02-2010  12:00:00 PM,vertical,0.17089,,
WBHW,01-02-2010  3:00:00 AM,25cm,0.12762,,
WBHW,01-02-2010  3:00:00 AM,10cm,0.14756,2.03,
WBHW,01-02-2010  3:00:00 AM,vertical,0.17089,,
WBHW,01-02-2010  3:00:00 PM,25cm,0.12804,,
WBHW,01-02-2010  3:00:00 PM,10cm,0.14756,2.46,
WBHW,01-02-2010  3:00:00 PM,vertical,0.17131,,
WBHW,01-02-2010  6:00:00 AM,25cm,0.12804,,
WBHW,01-02-2010  6:00:00 AM,10cm,0.14756,2.46,
WBHW,01-02-2010  6:00:00 AM,vertical,0.17131,,
WBHW,01-02-2010  6:00:00 PM,25cm,0.12804,,
WBHW,01-02-2010  6:00:00 PM,10cm,0.14756,2.46,
WBHW,01-02-2010  6:00:00 PM,vertical,0.17089,,
WBHW,01-02-2010  9:00:00 AM,25cm,0.12804,,
WBHW,01-02-2010  9:00:00 AM,10cm,0.14756,2.03,
WBHW,01-02-2010  9:00:00 AM,vertical,0.17131,,
WBHW,01-02-2010  9:00:00 PM,25cm,0.12762,,
WBHW,01-02-2010  9:00:00 PM,10cm,0.14713,2.46,
WBHW,01-02-2010  9:00:00 PM,vertical,0.17089,,
