Compartment,Datetime,Temp_C,Moisture_m3_m3,Depth,Remove
EBHW,02/26/15 06:00:00 PM,0.73,0.1289,10cm,
EBHW,02/27/15 03:00:00 AM,0.73,0.1289,10cm,
EBHW,02/27/15 12:00:00 AM,0.73,0.1289,10cm,
EBHW,02/26/15 09:00:00 PM,0.73,0.1293,10cm,
EBHW,02/27/15 03:00:00 PM,0.73,0.1293,10cm,
EBHW,02/27/15 06:00:00 AM,0.73,0.1293,10cm,
EBHW,02/27/15 09:00:00 AM,0.73,0.1293,10cm,
EBHW,02/27/15 09:00:00 PM,0.73,0.1293,10cm,
EBHW,02/27/15 12:00:00 PM,0.73,0.1293,10cm,
EBHW,02/27/15 06:00:00 PM,0.73,0.1297,10cm,
EBHW,02/28/15 03:00:00 AM,0.73,0.1297,10cm,
EBHW,02/28/15 03:00:00 PM,0.73,0.1297,10cm,
EBHW,02/28/15 06:00:00 AM,0.73,0.1297,10cm,
EBHW,02/28/15 06:00:00 PM,0.73,0.1297,10cm,
EBHW,02/28/15 09:00:00 AM,0.73,0.1297,10cm,
EBHW,02/28/15 12:00:00 AM,0.73,0.1297,10cm,
EBHW,02/28/15 12:00:00 PM,0.73,0.1297,10cm,
EBHW,03-01-2015  12:00:00 AM,0.73,0.1302,10cm,
EBHW,03-01-2015  3:00:00 AM,0.73,0.1302,10cm,
EBHW,03-01-2015  6:00:00 AM,0.73,0.1302,10cm,
EBHW,03-01-2015  9:00:00 AM,0.73,0.1302,10cm,
EBHW,03-01-2015  12:00:00 PM,0.73,0.1302,10cm,
EBHW,03-01-2015  3:00:00 PM,0.73,0.1302,10cm,
EBHW,03-01-2015  6:00:00 PM,0.73,0.1302,10cm,
EBHW,02/28/15 09:00:00 PM,0.73,0.1302,10cm,
EBHW,03-01-2015  9:00:00 PM,0.73,0.1306,10cm,
EBHW,03-02-2015  12:00:00 AM,0.73,0.1306,10cm,
EBHW,03-02-2015  3:00:00 AM,0.73,0.131,10cm,
EBHW,03-02-2015  6:00:00 AM,0.73,0.131,10cm,
EBHW,03-02-2015  9:00:00 AM,0.73,0.131,10cm,
EBHW,03-02-2015  12:00:00 PM,0.73,0.131,10cm,
EBHW,03-02-2015  3:00:00 PM,0.73,0.131,10cm,
EBHW,03-02-2015  6:00:00 PM,0.73,0.131,10cm,
EBHW,03-03-2015  9:00:00 AM,0.73,0.131,10cm,
EBHW,01/22/15 09:00:00 AM,0.73,0.131,10cm,
EBHW,03-02-2015  9:00:00 PM,0.73,0.1314,10cm,
EBHW,03-03-2015  12:00:00 AM,0.73,0.1314,10cm,
EBHW,03-03-2015  3:00:00 AM,0.73,0.1314,10cm,
EBHW,03-03-2015  6:00:00 AM,0.73,0.1314,10cm,
EBHW,03-03-2015  12:00:00 PM,0.73,0.1314,10cm,
EBHW,03-03-2015  3:00:00 PM,0.73,0.1314,10cm,
EBHW,03-03-2015  6:00:00 PM,0.73,0.1314,10cm,
EBHW,03-03-2015  9:00:00 PM,0.73,0.1319,10cm,
EBHW,03-04-2015  12:00:00 AM,0.73,0.1319,10cm,
EBHW,03-04-2015  3:00:00 AM,0.73,0.1319,10cm,
EBHW,03-04-2015  9:00:00 AM,0.73,0.1319,10cm,
EBHW,03-04-2015  6:00:00 AM,0.73,0.1323,10cm,
EBHW,03-04-2015  12:00:00 PM,0.73,0.1323,10cm,
EBHW,03-04-2015  3:00:00 PM,0.73,0.1323,10cm,
EBHW,03-04-2015  6:00:00 PM,0.73,0.1323,10cm,
EBHW,03-05-2015  12:00:00 AM,0.73,0.1323,10cm,
EBHW,03-04-2015  9:00:00 PM,0.73,0.1327,10cm,
EBHW,03-05-2015  3:00:00 AM,0.73,0.1327,10cm,
EBHW,03-05-2015  6:00:00 AM,0.73,0.1327,10cm,
EBHW,03-05-2015  9:00:00 AM,0.73,0.1327,10cm,
EBHW,03-05-2015  12:00:00 PM,0.73,0.1327,10cm,
EBHW,03-05-2015  3:00:00 PM,0.73,0.1331,10cm,
EBHW,03-05-2015  6:00:00 PM,0.73,0.1331,10cm,
EBHW,03-05-2015  9:00:00 PM,0.73,0.1331,10cm,
EBHW,01/22/15 06:00:00 AM,0.73,0.1331,10cm,
EBHW,01-09-2015  6:00:00 AM,1.17,0.1336,10cm,
EBHW,01-09-2015  9:00:00 AM,1.17,0.1336,10cm,
EBHW,01-09-2015  12:00:00 PM,1.17,0.1336,10cm,
EBHW,01-11-2015  9:00:00 AM,1.17,0.1336,10cm,
EBHW,01-11-2015  12:00:00 PM,0.73,0.1336,10cm,
EBHW,01-11-2015  3:00:00 PM,0.73,0.1336,10cm,
EBHW,01-11-2015  6:00:00 PM,0.73,0.1336,10cm,
EBHW,01-11-2015  9:00:00 PM,0.73,0.1336,10cm,
EBHW,01-12-2015  12:00:00 AM,0.73,0.1336,10cm,
EBHW,01-12-2015  3:00:00 AM,0.73,0.1336,10cm,
EBHW,01-12-2015  6:00:00 AM,0.73,0.1336,10cm,
EBHW,03-06-2015  12:00:00 AM,0.73,0.1336,10cm,
EBHW,03-06-2015  3:00:00 AM,0.73,0.1336,10cm,
EBHW,03-06-2015  6:00:00 AM,0.73,0.1336,10cm,
EBHW,03-06-2015  9:00:00 AM,0.73,0.1336,10cm,
EBHW,03-06-2015  12:00:00 PM,0.73,0.1336,10cm,
EBHW,01-09-2015  12:00:00 AM,1.17,0.134,10cm,
EBHW,01-09-2015  3:00:00 AM,1.17,0.134,10cm,
EBHW,01-09-2015  3:00:00 PM,1.17,0.134,10cm,
EBHW,01-09-2015  6:00:00 PM,1.17,0.134,10cm,
EBHW,01-10-2015  12:00:00 PM,1.17,0.134,10cm,
EBHW,01-10-2015  3:00:00 PM,1.17,0.134,10cm,
EBHW,01-10-2015  6:00:00 PM,1.17,0.134,10cm,
EBHW,01-11-2015  12:00:00 AM,1.17,0.134,10cm,
EBHW,01-11-2015  3:00:00 AM,1.17,0.134,10cm,
EBHW,01-11-2015  6:00:00 AM,1.17,0.134,10cm,
EBHW,01-12-2015  9:00:00 AM,0.73,0.134,10cm,
EBHW,01-12-2015  12:00:00 PM,0.73,0.134,10cm,
EBHW,01-12-2015  3:00:00 PM,0.73,0.134,10cm,
EBHW,01-12-2015  6:00:00 PM,0.73,0.134,10cm,
EBHW,03-06-2015  3:00:00 PM,0.73,0.134,10cm,
EBHW,03-06-2015  6:00:00 PM,0.73,0.134,10cm,
EBHW,03-06-2015  9:00:00 PM,0.73,0.134,10cm,
EBHW,03-07-2015  12:00:00 AM,0.73,0.134,10cm,
EBHW,03-07-2015  3:00:00 AM,0.73,0.134,10cm,
EBHW,03-07-2015  6:00:00 AM,0.73,0.134,10cm,
EBHW,01-08-2015  9:00:00 PM,1.17,0.1344,10cm,
EBHW,01-09-2015  9:00:00 PM,1.17,0.1344,10cm,
EBHW,01-10-2015  12:00:00 AM,1.17,0.1344,10cm,
EBHW,01-10-2015  3:00:00 AM,1.17,0.1344,10cm,
EBHW,01-10-2015  6:00:00 AM,1.17,0.1344,10cm,
EBHW,01-10-2015  9:00:00 AM,1.17,0.1344,10cm,
EBHW,01-10-2015  9:00:00 PM,1.17,0.1344,10cm,
EBHW,01-12-2015  9:00:00 PM,0.73,0.1344,10cm,
EBHW,03-07-2015  9:00:00 AM,0.73,0.1344,10cm,
EBHW,03-07-2015  12:00:00 PM,0.73,0.1344,10cm,
EBHW,03-07-2015  3:00:00 PM,0.73,0.1344,10cm,
EBHW,03-07-2015  6:00:00 PM,0.73,0.1344,10cm,
EBHW,03-07-2015  9:00:00 PM,0.73,0.1344,10cm,
EBHW,03-08-2015  12:00:00 AM,0.73,0.1344,10cm,
EBHW,03-08-2015  6:00:00 AM,0.73,0.1344,10cm,
EBHW,01/13/15 12:00:00 AM,0.73,0.1344,10cm,
EBHW,01/14/15 03:00:00 PM,0.73,0.1344,10cm,
EBHW,01/14/15 06:00:00 PM,0.73,0.1344,10cm,
EBHW,01/14/15 12:00:00 PM,0.73,0.1344,10cm,
EBHW,01-04-2015  12:00:00 AM,1.17,0.1348,10cm,
EBHW,01-04-2015  3:00:00 AM,1.17,0.1348,10cm,
EBHW,01-04-2015  6:00:00 AM,1.17,0.1348,10cm,
EBHW,01-08-2015  3:00:00 PM,1.17,0.1348,10cm,
EBHW,01-08-2015  6:00:00 PM,1.17,0.1348,10cm,
EBHW,03-08-2015  3:00:00 AM,0.73,0.1348,10cm,
EBHW,03-08-2015  9:00:00 AM,0.73,0.1348,10cm,
